Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
443.0,1.0,13.0,17.0,2638.0,10224.0,202.92307692307693,40.0,202.92307692307693,101.46153846153847,601.4117647058823,60.141176470588235,601.4117647058823,300.70588235294116,12862000000.0,30000000.0,0.03333333333333333,0.016666666666666666,1.0,0.0033333333333333335,1.0,0.07692307692307693,0.038461538461538464,1.0,0.058823529411764705,0.029411764705882353,1.0,0.0,20.0,20.0,13000000.0,17000000.0,40.0,10224.0,428.73333333333335,214.36666666666667,45953.06777777778,0.0,1.0,0.0,1.0,1.0,0.0,3.8756633813495074,428.73333333333335,202.92307692307693,601.4117647058823,13.0,2638.0,17.0,10224.0,0.0,0.0,13.0,20.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0
443.0,1.0,13.0,17.0,2638.0,10224.0,202.92307692307693,40.0,202.92307692307693,101.46153846153847,601.4117647058823,60.141176470588235,601.4117647058823,300.70588235294116,12862000000.0,30000000.0,0.03333333333333333,0.016666666666666666,1.0,0.0033333333333333335,1.0,0.07692307692307693,0.038461538461538464,1.0,0.058823529411764705,0.029411764705882353,1.0,0.0,20.0,20.0,13000000.0,17000000.0,40.0,10224.0,428.73333333333335,214.36666666666667,45953.06777777778,0.0,1.0,0.0,1.0,1.0,0.0,3.8756633813495074,428.73333333333335,202.92307692307693,601.4117647058823,13.0,2638.0,17.0,10224.0,0.0,0.0,13.0,20.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0
443.0,1000000.0,6.0,8.0,426.0,7209.0,71.0,40.0,71.0,35.5,901.125,90.11250000000001,901.125,450.5625,7635.0,14.0,71428.57142857142,35714.28571428571,1000000.0,7142.857142857142,1000000.0,166666.66666666666,83333.33333333333,1000000.0,125000.0,62500.0,1.0,0.0,20.0,20.0,6.0,8.0,40.0,7209.0,545.3571428571429,272.67857142857144,74353.60331632654,0.0,1.0,0.0,1.0,1.0,0.0,16.922535211267604,545.3571428571429,71.0,901.125,6.0,426.0,8.0,7209.0,0.0,0.0,6.0,20.0,1000000.0,100000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0
443.0,1000000.0,6.0,8.0,426.0,7209.0,71.0,40.0,71.0,35.5,901.125,90.11250000000001,901.125,450.5625,7635.0,14.0,71428.57142857142,35714.28571428571,1000000.0,7142.857142857142,1000000.0,166666.66666666666,83333.33333333333,1000000.0,125000.0,62500.0,1.0,0.0,20.0,20.0,6.0,8.0,40.0,7209.0,545.3571428571429,272.67857142857144,74353.60331632654,0.0,1.0,0.0,1.0,1.0,0.0,16.922535211267604,545.3571428571429,71.0,901.125,6.0,426.0,8.0,7209.0,0.0,0.0,6.0,20.0,1000000.0,100000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0
443.0,1.0,6.0,9.0,410.0,6865.0,68.33333333333333,40.0,68.33333333333333,34.166666666666664,762.7777777777778,76.27777777777779,762.7777777777778,381.3888888888889,7275000000.0,15000000.0,0.06666666666666667,0.03333333333333333,1.0,0.006666666666666667,1.0,0.16666666666666666,0.08333333333333333,1.0,0.1111111111111111,0.05555555555555555,1.0,0.0,20.0,20.0,6000000.0,9000000.0,40.0,6865.0,485.0,242.5,58806.25,0.0,1.0,0.0,1.0,1.0,0.0,16.74390243902439,485.0,68.33333333333333,762.7777777777778,6.0,410.0,9.0,6865.0,0.0,0.0,6.0,20.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0
443.0,1.0,6.0,9.0,410.0,6865.0,68.33333333333333,40.0,68.33333333333333,34.166666666666664,762.7777777777778,76.27777777777779,762.7777777777778,381.3888888888889,7275000000.0,15000000.0,0.06666666666666667,0.03333333333333333,1.0,0.006666666666666667,1.0,0.16666666666666666,0.08333333333333333,1.0,0.1111111111111111,0.05555555555555555,1.0,0.0,20.0,20.0,6000000.0,9000000.0,40.0,6865.0,485.0,242.5,58806.25,0.0,1.0,0.0,1.0,1.0,0.0,16.74390243902439,485.0,68.33333333333333,762.7777777777778,6.0,410.0,9.0,6865.0,0.0,0.0,6.0,20.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0
443.0,1000000.0,7.0,8.0,1876.0,6822.0,268.0,40.0,268.0,134.0,852.75,85.275,852.75,426.375,8698.0,15.0,66666.66666666667,33333.333333333336,1000000.0,6666.666666666668,1000000.0,142857.14285714284,71428.57142857142,1000000.0,125000.0,62500.0,1.0,0.0,20.0,20.0,7.0,8.0,40.0,6822.0,579.8666666666667,289.93333333333334,84061.33777777778,0.0,1.0,0.0,1.0,1.0,0.0,3.636460554371002,579.8666666666667,268.0,852.75,7.0,1876.0,8.0,6822.0,0.0,0.0,7.0,20.0,1000000.0,100000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0
443.0,1000000.0,7.0,8.0,1876.0,6822.0,268.0,40.0,268.0,134.0,852.75,85.275,852.75,426.375,8698.0,15.0,66666.66666666667,33333.333333333336,1000000.0,6666.666666666668,1000000.0,142857.14285714284,71428.57142857142,1000000.0,125000.0,62500.0,1.0,0.0,20.0,20.0,7.0,8.0,40.0,6822.0,579.8666666666667,289.93333333333334,84061.33777777778,0.0,1.0,0.0,1.0,1.0,0.0,3.636460554371002,579.8666666666667,268.0,852.75,7.0,1876.0,8.0,6822.0,0.0,0.0,7.0,20.0,1000000.0,100000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0
443.0,1.0,5.0,7.0,356.0,9244.0,71.2,40.0,71.2,35.6,1320.5714285714287,132.05714285714288,1320.5714285714287,660.2857142857143,9600000000.0,12000000.0,0.08333333333333333,0.041666666666666664,1.0,0.008333333333333333,1.0,0.19999999999999998,0.09999999999999999,1.0,0.14285714285714285,0.07142857142857142,1.0,0.0,20.0,20.0,5000000.0,7000000.0,40.0,9244.0,800.0,400.0,160000.0,0.0,1.0,0.0,1.0,1.0,0.0,25.96629213483146,800.0,71.2,1320.5714285714287,5.0,356.0,7.0,9244.0,0.0,0.0,5.0,20.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0
443.0,1.0,5.0,7.0,356.0,9244.0,71.2,40.0,71.2,35.6,1320.5714285714287,132.05714285714288,1320.5714285714287,660.2857142857143,9600000000.0,12000000.0,0.08333333333333333,0.041666666666666664,1.0,0.008333333333333333,1.0,0.19999999999999998,0.09999999999999999,1.0,0.14285714285714285,0.07142857142857142,1.0,0.0,20.0,20.0,5000000.0,7000000.0,40.0,9244.0,800.0,400.0,160000.0,0.0,1.0,0.0,1.0,1.0,0.0,25.96629213483146,800.0,71.2,1320.5714285714287,5.0,356.0,7.0,9244.0,0.0,0.0,5.0,20.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0
